
2021-05-25 12:38:51 ntcn||*+711122233344|||
2021-05-25 12:39:09 ||+73441112233|||
2022-01-25 18:23:13 Виктория - тест( авеб системс)||89996134077|||
2022-03-15 16:50:41 Авеб Тест||+78000000001|||
2022-03-17 08:44:25 Тест Авеб||+78900000000|||
2022-07-18 22:29:34 |||||
2022-08-04 16:43:09 |||||
2022-08-06 09:29:18 Проверка 1||1111111|||
2022-08-06 09:29:45 Проверка 2||222222222|||
2022-08-06 15:37:13 |||||
2022-08-08 11:23:18 проверка 0 (топ-бар)||000000000000000|||
2022-08-08 11:24:47 провера 000||123123123123123|||
2022-08-08 11:24:53 ||89859982510|||
2022-08-08 11:25:14 проверка топ-бара||89859982510|||
2022-08-08 11:27:30 апукц||кпупук|||
2022-08-08 11:27:37 ||89610754815|||
2022-08-08 11:31:47 gre||89610754815|||
2022-08-08 11:32:37 проверка 00||89859982510|||
2022-08-08 12:01:29 проверка 5 (утепление)||89859982510|||
2022-08-08 13:04:06 тест 1 (зеленая кнопка)||89859982510|||
